page: 13.5 viewport-heights, acts: flow > flow > flow > flow > flow > flow > flow > flow > flow > flow > flow > flow > flow
  00.png  settled=true  cues=2  clips=2.62,poster
  01.png  settled=true  cues=2  clips=2.95,poster
  02.png  settled=true  cues=2  clips=3.46,poster
  03.png  settled=true  cues=3  clips=3.92,poster
  04.png  settled=true  cues=4  clips=4.48,poster
  05.png  settled=true  cues=5  clips=4.9,poster
  06.png  settled=true  cues=5  clips=4.99,poster
  07.png  settled=true  cues=5  clips=4.99,poster
  08.png  settled=true  cues=4  clips=4.99,poster
  09.png  settled=true  cues=3  clips=4.99,poster
  10.png  settled=true  cues=3  clips=4.99,0.05
  11.png  settled=true  cues=2  clips=4.99,0.05
  12.png  settled=true  cues=2  clips=4.99,0.05
  13.png  settled=true  cues=2  clips=4.99,0.05
  14.png  settled=true  cues=2  clips=4.99,0.05
  15.png  settled=true  cues=3  clips=4.99,0.05
  16.png  settled=true  cues=4  clips=4.99,0.05
  17.png  settled=true  cues=3  clips=4.99,0.05
  18.png  settled=true  cues=2  clips=4.99,0.05
  19.png  settled=true  cues=2  clips=4.99,0.05
  20.png  settled=true  cues=2  clips=4.99,0.05
  21.png  settled=true  cues=3  clips=4.99,0.05
  22.png  settled=true  cues=3  clips=4.99,0
  23.png  settled=true  cues=2  clips=4.99,0.07
  24.png  settled=true  cues=2  clips=4.99,0.14
  25.png  settled=true  cues=2  clips=4.99,0.53
  26.png  settled=true  cues=2  clips=4.99,1.03
  27.png  settled=true  cues=3  clips=4.99,1.42
  28.png  settled=true  cues=2  clips=4.99,2
  29.png  settled=true  cues=1  clips=4.99,2.27
  30.png  settled=true  cues=2  clips=4.99,2.74
  31.png  settled=true  cues=3  clips=4.99,2.96
  32.png  settled=true  cues=3  clips=4.99,3.93
  33.png  settled=true  cues=3  clips=4.99,4.13
  34.png  settled=true  cues=2  clips=4.99,4.87
  35.png  settled=true  cues=1  clips=4.99,4.99
  36.png  settled=true  cues=0  clips=4.99,4.99
  37.png  settled=true  cues=0  clips=4.99,4.99
  38.png  settled=true  cues=3  clips=4.99,4.99
  39.png  settled=true  cues=3  clips=4.99,4.99
  40.png  settled=true  cues=4  clips=4.99,4.99
  41.png  settled=true  cues=4  clips=4.99,4.99
  42.png  settled=true  cues=4  clips=4.99,4.99
  43.png  settled=true  cues=4  clips=4.99,4.99
  44.png  settled=true  cues=2  clips=4.99,4.99
  45.png  settled=true  cues=0  clips=4.99,4.99
  46.png  settled=true  cues=1  clips=4.99,4.99
  47.png  settled=true  cues=2  clips=4.99,4.99
  48.png  settled=true  cues=2  clips=4.99,4.99
  49.png  settled=true  cues=2  clips=4.99,4.99
  50.png  settled=true  cues=2  clips=4.99,4.99
  51.png  settled=true  cues=2  clips=4.99,4.99
  52.png  settled=true  cues=2  clips=4.99,4.99
  53.png  settled=true  cues=2  clips=4.99,4.99
  54.png  settled=true  cues=1  clips=4.99,4.99
  55.png  settled=true  cues=1  clips=4.99,4.99
  56.png  settled=true  cues=2  clips=4.99,4.99
  57.png  settled=true  cues=3  clips=4.99,4.99
  58.png  settled=true  cues=3  clips=4.99,4.99
  59.png  settled=true  cues=3  clips=4.99,4.99
  60.png  settled=true  cues=3  clips=4.99,4.99
  61.png  settled=true  cues=3  clips=4.99,4.99
  62.png  settled=true  cues=3  clips=4.99,4.99
  63.png  settled=true  cues=2  clips=4.99,4.99
  64.png  settled=true  cues=2  clips=4.99,4.99
  65.png  settled=true  cues=0  clips=4.99,4.99
  66.png  settled=true  cues=0  clips=4.99,4.99
  67.png  settled=true  cues=0  clips=4.99,4.99
  68.png  settled=true  cues=0  clips=4.99,4.99
  69.png  settled=true  cues=1  clips=4.99,4.99
  70.png  settled=true  cues=1  clips=4.99,4.99
  71.png  settled=true  cues=1  clips=4.99,4.99
  72.png  settled=true  cues=1  clips=4.99,4.99

DEAD SCROLL between: 89% -> 91% (flow > -)
all 2 scrub clip(s) keep moving whenever they are on screen

contrast over media: all cues clear 4.5:1 at their worst frame
contact sheet: C:\Users\mfran\Ai-Foundations\Amparo\scrollcraft\builds\amparo-home-cutlist\lab7\mobile\sheet.png

shots + report.json in C:\Users\mfran\Ai-Foundations\Amparo\scrollcraft\builds\amparo-home-cutlist\lab7\mobile
